=== Task: pretrain (server) ===
timestamp: 20251016_103002
config:
rounds: 200
clients_per_round: 40
local_epochs: 4
optimizer:
  lr: 0.0002
  weight_decay: 0.01
batch_size: 32
num_workers: 8
use_amp: true
dp:
  enabled: true
  target_epsilon: 1
  target_delta: 1.0e-05
  noise_multiplier: null
  max_grad_norm: 1.0
secure_aggregation:
  enabled: true
  threshold: 21
server_noise_scale: 0.0
[Round 1] global metrics: loss=1.6638 pixel_mse=1.6634 token_norm=24.2386 max_token_norm=25.1732 privacy_epsilon=0.0401 privacy_epsilon_cum=0.0584 privacy_epsilon_inc=0.0584 privacy_delta=1.0e-05
[Round 2] global metrics: loss=1.6628 pixel_mse=1.6624 token_norm=24.2401 max_token_norm=25.1734 privacy_epsilon=0.0401 privacy_epsilon_cum=0.0834 privacy_epsilon_inc=0.0251 privacy_delta=1.0e-05
[Round 3] global metrics: loss=1.6632 pixel_mse=1.6628 token_norm=24.2392 max_token_norm=25.1712 privacy_epsilon=0.0401 privacy_epsilon_cum=0.1028 privacy_epsilon_inc=0.0194 privacy_delta=1.0e-05
[Round 4] global metrics: loss=1.6624 pixel_mse=1.6620 token_norm=24.2389 max_token_norm=25.1704 privacy_epsilon=0.0401 privacy_epsilon_cum=0.1223 privacy_epsilon_inc=0.0194 privacy_delta=1.0e-05
[Round 5] global metrics: loss=1.6631 pixel_mse=1.6627 token_norm=24.2373 max_token_norm=25.1704 privacy_epsilon=0.0401 privacy_epsilon_cum=0.1417 privacy_epsilon_inc=0.0194 privacy_delta=1.0e-05
[Round 6] global metrics: loss=1.6629 pixel_mse=1.6625 token_norm=24.2384 max_token_norm=25.1694 privacy_epsilon=0.0401 privacy_epsilon_cum=0.1592 privacy_epsilon_inc=0.0175 privacy_delta=1.0e-05
[Round 7] global metrics: loss=1.6636 pixel_mse=1.6632 token_norm=24.2378 max_token_norm=25.1690 privacy_epsilon=0.0401 privacy_epsilon_cum=0.1689 privacy_epsilon_inc=0.0097 privacy_delta=1.0e-05
[Round 8] global metrics: loss=1.6630 pixel_mse=1.6626 token_norm=24.2370 max_token_norm=25.1694 privacy_epsilon=0.0401 privacy_epsilon_cum=0.1786 privacy_epsilon_inc=0.0097 privacy_delta=1.0e-05
[Round 9] global metrics: loss=1.6624 pixel_mse=1.6620 token_norm=24.2350 max_token_norm=25.1665 privacy_epsilon=0.0401 privacy_epsilon_cum=0.1883 privacy_epsilon_inc=0.0097 privacy_delta=1.0e-05
[Round 10] global metrics: loss=1.6632 pixel_mse=1.6628 token_norm=24.2359 max_token_norm=25.1669 privacy_epsilon=0.0401 privacy_epsilon_cum=0.1980 privacy_epsilon_inc=0.0097 privacy_delta=1.0e-05
[Round 11] global metrics: loss=1.6624 pixel_mse=1.6621 token_norm=24.2350 max_token_norm=25.1697 privacy_epsilon=0.0401 privacy_epsilon_cum=0.2077 privacy_epsilon_inc=0.0097 privacy_delta=1.0e-05
[Round 12] global metrics: loss=1.6637 pixel_mse=1.6633 token_norm=24.2350 max_token_norm=25.1676 privacy_epsilon=0.0401 privacy_epsilon_cum=0.2174 privacy_epsilon_inc=0.0097 privacy_delta=1.0e-05
[Round 13] global metrics: loss=1.6630 pixel_mse=1.6627 token_norm=24.2339 max_token_norm=25.1658 privacy_epsilon=0.0401 privacy_epsilon_cum=0.2271 privacy_epsilon_inc=0.0097 privacy_delta=1.0e-05
[Round 14] global metrics: loss=1.6631 pixel_mse=1.6627 token_norm=24.2339 max_token_norm=25.1670 privacy_epsilon=0.0401 privacy_epsilon_cum=0.2368 privacy_epsilon_inc=0.0097 privacy_delta=1.0e-05
[Round 15] global metrics: loss=1.6637 pixel_mse=1.6633 token_norm=24.2327 max_token_norm=25.1646 privacy_epsilon=0.0401 privacy_epsilon_cum=0.2465 privacy_epsilon_inc=0.0097 privacy_delta=1.0e-05
[Round 16] global metrics: loss=1.6629 pixel_mse=1.6625 token_norm=24.2322 max_token_norm=25.1663 privacy_epsilon=0.0401 privacy_epsilon_cum=0.2562 privacy_epsilon_inc=0.0097 privacy_delta=1.0e-05
[Round 17] global metrics: loss=1.6621 pixel_mse=1.6617 token_norm=24.2309 max_token_norm=25.1635 privacy_epsilon=0.0401 privacy_epsilon_cum=0.2659 privacy_epsilon_inc=0.0097 privacy_delta=1.0e-05
[Round 18] global metrics: loss=1.6628 pixel_mse=1.6624 token_norm=24.2316 max_token_norm=25.1644 privacy_epsilon=0.0401 privacy_epsilon_cum=0.2756 privacy_epsilon_inc=0.0097 privacy_delta=1.0e-05
[Round 19] global metrics: loss=1.6629 pixel_mse=1.6625 token_norm=24.2315 max_token_norm=25.1634 privacy_epsilon=0.0401 privacy_epsilon_cum=0.2853 privacy_epsilon_inc=0.0097 privacy_delta=1.0e-05
[Round 20] global metrics: loss=1.6626 pixel_mse=1.6623 token_norm=24.2312 max_token_norm=25.1641 privacy_epsilon=0.0401 privacy_epsilon_cum=0.2950 privacy_epsilon_inc=0.0097 privacy_delta=1.0e-05
[Round 21] global metrics: loss=1.6624 pixel_mse=1.6621 token_norm=24.2313 max_token_norm=25.1636 privacy_epsilon=0.0401 privacy_epsilon_cum=0.3047 privacy_epsilon_inc=0.0097 privacy_delta=1.0e-05
[Round 22] global metrics: loss=1.6629 pixel_mse=1.6625 token_norm=24.2298 max_token_norm=25.1622 privacy_epsilon=0.0401 privacy_epsilon_cum=0.3144 privacy_epsilon_inc=0.0097 privacy_delta=1.0e-05
[Round 23] global metrics: loss=1.6635 pixel_mse=1.6631 token_norm=24.2306 max_token_norm=25.1611 privacy_epsilon=0.0401 privacy_epsilon_cum=0.3241 privacy_epsilon_inc=0.0097 privacy_delta=1.0e-05
[Round 24] global metrics: loss=1.6631 pixel_mse=1.6627 token_norm=24.2303 max_token_norm=25.1624 privacy_epsilon=0.0401 privacy_epsilon_cum=0.3338 privacy_epsilon_inc=0.0097 privacy_delta=1.0e-05
[Round 25] global metrics: loss=1.6637 pixel_mse=1.6633 token_norm=24.2308 max_token_norm=25.1629 privacy_epsilon=0.0401 privacy_epsilon_cum=0.3435 privacy_epsilon_inc=0.0097 privacy_delta=1.0e-05
[Round 26] global metrics: loss=1.6617 pixel_mse=1.6613 token_norm=24.2301 max_token_norm=25.1633 privacy_epsilon=0.0401 privacy_epsilon_cum=0.3532 privacy_epsilon_inc=0.0097 privacy_delta=1.0e-05
[Round 27] global metrics: loss=1.6624 pixel_mse=1.6620 token_norm=24.2305 max_token_norm=25.1616 privacy_epsilon=0.0401 privacy_epsilon_cum=0.3588 privacy_epsilon_inc=0.0056 privacy_delta=1.0e-05
[Round 28] global metrics: loss=1.6632 pixel_mse=1.6629 token_norm=24.2314 max_token_norm=25.1631 privacy_epsilon=0.0401 privacy_epsilon_cum=0.3636 privacy_epsilon_inc=0.0048 privacy_delta=1.0e-05
[Round 29] global metrics: loss=1.6620 pixel_mse=1.6617 token_norm=24.2293 max_token_norm=25.1586 privacy_epsilon=0.0401 privacy_epsilon_cum=0.3685 privacy_epsilon_inc=0.0048 privacy_delta=1.0e-05
[Round 30] global metrics: loss=1.6619 pixel_mse=1.6615 token_norm=24.2288 max_token_norm=25.1583 privacy_epsilon=0.0401 privacy_epsilon_cum=0.3733 privacy_epsilon_inc=0.0048 privacy_delta=1.0e-05
[Round 31] global metrics: loss=1.6623 pixel_mse=1.6620 token_norm=24.2284 max_token_norm=25.1596 privacy_epsilon=0.0401 privacy_epsilon_cum=0.3781 privacy_epsilon_inc=0.0048 privacy_delta=1.0e-05
[Round 32] global metrics: loss=1.6628 pixel_mse=1.6624 token_norm=24.2283 max_token_norm=25.1586 privacy_epsilon=0.0401 privacy_epsilon_cum=0.3830 privacy_epsilon_inc=0.0048 privacy_delta=1.0e-05
[Round 33] global metrics: loss=1.6627 pixel_mse=1.6623 token_norm=24.2293 max_token_norm=25.1584 privacy_epsilon=0.0401 privacy_epsilon_cum=0.3878 privacy_epsilon_inc=0.0048 privacy_delta=1.0e-05
[Round 34] global metrics: loss=1.6623 pixel_mse=1.6619 token_norm=24.2285 max_token_norm=25.1587 privacy_epsilon=0.0401 privacy_epsilon_cum=0.3927 privacy_epsilon_inc=0.0048 privacy_delta=1.0e-05
[Round 35] global metrics: loss=1.6639 pixel_mse=1.6636 token_norm=24.2293 max_token_norm=25.1595 privacy_epsilon=0.0401 privacy_epsilon_cum=0.3975 privacy_epsilon_inc=0.0048 privacy_delta=1.0e-05
